document_import_batch_items_document_import_batch_id_foreign|document_import_batch_items|document_import_batch_id|document_import_batches|id|CASCADE|NO ACTION
document_import_batch_items_establishment_id_foreign|document_import_batch_items|establishment_id|establishments|id|SET NULL|NO ACTION
document_import_batch_items_office_id_foreign|document_import_batch_items|office_id|offices|id|CASCADE|NO ACTION
document_import_batches_client_id_foreign|document_import_batches|client_id|clients|id|SET NULL|NO ACTION
document_import_batches_created_by_foreign|document_import_batches|created_by|users|id|CASCADE|NO ACTION
document_import_batches_establishment_id_foreign|document_import_batches|establishment_id|establishments|id|SET NULL|NO ACTION
document_import_batches_office_id_foreign|document_import_batches|office_id|offices|id|CASCADE|NO ACTION
document_interests_dfe_document_id_foreign|document_interests|dfe_document_id|dfe_documents|id|CASCADE|NO ACTION
document_interests_establishment_id_foreign|document_interests|establishment_id|establishments|id|CASCADE|NO ACTION
document_interests_office_id_foreign|document_interests|office_id|offices|id|CASCADE|NO ACTION
esocial_event_evidences_client_id_foreign|esocial_event_evidences|client_id|clients|id|CASCADE|NO ACTION
esocial_event_evidences_establishment_id_foreign|esocial_event_evidences|establishment_id|establishments|id|SET NULL|NO ACTION
esocial_event_evidences_fiscal_evidence_artifact_id_foreign|esocial_event_evidences|fiscal_evidence_artifact_id|fiscal_evidence_artifacts|id|SET NULL|NO ACTION
esocial_event_evidences_office_id_foreign|esocial_event_evidences|office_id|offices|id|CASCADE|NO ACTION
esocial_event_evidences_run_id_foreign|esocial_event_evidences|run_id|fiscal_monitoring_runs|id|SET NULL|NO ACTION
establishments_client_id_foreign|establishments|client_id|clients|id|CASCADE|NO ACTION
establishments_office_id_foreign|establishments|office_id|offices|id|CASCADE|NO ACTION
exports_office_id_foreign|exports|office_id|offices|id|CASCADE|NO ACTION
exports_user_id_foreign|exports|user_id|users|id|CASCADE|NO ACTION
fgts_competence_statuses_client_id_foreign|fgts_competence_statuses|client_id|clients|id|CASCADE|NO ACTION
fgts_competence_statuses_establishment_id_foreign|fgts_competence_statuses|establishment_id|establishments|id|SET NULL|NO ACTION
fgts_competence_statuses_fiscal_competence_id_foreign|fgts_competence_statuses|fiscal_competence_id|fiscal_competences|id|SET NULL|NO ACTION
fgts_competence_statuses_office_id_foreign|fgts_competence_statuses|office_id|offices|id|CASCADE|NO ACTION
fgts_competence_statuses_run_id_foreign|fgts_competence_statuses|run_id|fiscal_monitoring_runs|id|SET NULL|NO ACTION
fgts_competence_statuses_snapshot_id_foreign|fgts_competence_statuses|snapshot_id|fiscal_snapshots|id|SET NULL|NO ACTION
fiscal_competences_client_id_foreign|fiscal_competences|client_id|clients|id|CASCADE|NO ACTION
fiscal_competences_fiscal_category_id_foreign|fiscal_competences|fiscal_category_id|fiscal_categories|id|SET NULL|NO ACTION
fiscal_competences_office_id_foreign|fiscal_competences|office_id|offices|id|CASCADE|NO ACTION
fiscal_document_quarantine_office_distribution_cursor_id_foreig|fiscal_document_quarantine|office_distribution_cursor_id|office_distribution_cursors|id|SET NULL|NO ACTION
fiscal_document_quarantine_office_id_foreign|fiscal_document_quarantine|office_id|offices|id|CASCADE|NO ACTION
fiscal_document_quarantine_promoted_dfe_document_id_foreign|fiscal_document_quarantine|promoted_dfe_document_id|dfe_documents|id|SET NULL|NO ACTION
fiscal_document_quarantine_resolved_by_foreign|fiscal_document_quarantine|resolved_by|users|id|SET NULL|NO ACTION
fiscal_quarantine_batch_item_fk|fiscal_document_quarantine|document_import_batch_item_id|document_import_batch_items|id|SET NULL|NO ACTION
fiscal_evidence_artifacts_office_id_foreign|fiscal_evidence_artifacts|office_id|offices|id|CASCADE|NO ACTION
fiscal_evidence_artifacts_run_id_foreign|fiscal_evidence_artifacts|run_id|fiscal_monitoring_runs|id|CASCADE|NO ACTION
fiscal_findings_client_id_foreign|fiscal_findings|client_id|clients|id|CASCADE|NO ACTION
fiscal_findings_office_id_foreign|fiscal_findings|office_id|offices|id|CASCADE|NO ACTION
fiscal_findings_run_id_foreign|fiscal_findings|run_id|fiscal_monitoring_runs|id|CASCADE|NO ACTION
fiscal_findings_snapshot_id_foreign|fiscal_findings|snapshot_id|fiscal_snapshots|id|CASCADE|NO ACTION
fiscal_guide_stubs_client_id_foreign|fiscal_guide_stubs|client_id|clients|id|CASCADE|NO ACTION
fiscal_guide_stubs_office_id_foreign|fiscal_guide_stubs|office_id|offices|id|CASCADE|NO ACTION
fiscal_last_update_events_client_id_foreign|fiscal_last_update_events|client_id|clients|id|SET NULL|NO ACTION
fiscal_last_update_events_directed_run_id_foreign|fiscal_last_update_events|directed_run_id|fiscal_monitoring_runs|id|SET NULL|NO ACTION
fiscal_last_update_events_office_id_foreign|fiscal_last_update_events|office_id|offices|id|CASCADE|NO ACTION
fiscal_monitoring_runs_client_id_foreign|fiscal_monitoring_runs|client_id|clients|id|CASCADE|NO ACTION
fiscal_monitoring_runs_competence_id_foreign|fiscal_monitoring_runs|competence_id|fiscal_competences|id|SET NULL|NO ACTION
fiscal_monitoring_runs_fiscal_category_id_foreign|fiscal_monitoring_runs|fiscal_category_id|fiscal_categories|id|SET NULL|NO ACTION
fiscal_monitoring_runs_last_update_event_id_foreign|fiscal_monitoring_runs|last_update_event_id|fiscal_last_update_events|id|SET NULL|NO ACTION
